seed,node,numArrivals,numDepartures,maxQueueLength,avgQueueLength,avgWaitTime,avgResponse,busyTime,waitTime,unavailableTime,responseTime,lastEventTime,throughput,utilization,unavailable
2007539552,Queue,10000.0,10000.0,13.0,2.6470999999999996,4.176450963148332,7.378892745455467,32024.417823071344,41764.50963148332,0.0,73788.92745455467,45119.139777449665,0.22163543120114965,0.7097745653182199,0.0
2007539552,Source,10000.0,10000.0,1.0,1.0,0.0,4.51123591359912,45112.3591359912,0.0,0.0,45112.3591359912,45112.3591359912,0.22166874425376426,1.0,0.0
608249272,Queue,10000.0,10000.0,12.0,2.6111000000000084,4.0507091343338955,7.244130700982103,31934.215666482076,40507.09134333895,0.0,72441.30700982103,44840.424924297426,0.223013051657799,0.7121746888080461,0.0
608249272,Source,10000.0,10000.0,1.0,1.0,0.0,4.483634270514786,44836.34270514786,0.0,0.0,44836.34270514786,44836.34270514786,0.2230333563502684,1.0,0.0
1988926069,Queue,10000.0,10000.0,13.0,2.6051999999999964,4.026539371238632,7.216945357172683,31904.05985934051,40265.39371238632,0.0,72169.45357172683,44421.306399917084,0.2251171973640709,0.7182152540070289,0.0
1988926069,Source,10000.0,10000.0,1.0,1.0,0.0,4.441786851120042,44417.86851120042,0.0,0.0,44417.86851120042,44417.86851120042,0.22513462115991448,1.0,0.0
1978685236,Queue,10000.0,10000.0,11.0,2.5867999999999993,3.9707853700111766,7.172188807608886,32014.034375977088,39707.853700111766,0.0,71721.88807608886,45455.31076733575,0.21999629594845962,0.7042968981081615,0.0
1978685236,Source,10000.0,10000.0,1.0,1.0,0.0,4.544817535280336,45448.17535280336,0.0,0.0,45448.17535280336,45448.17535280336,0.22003083561380368,1.0,0.0
38470840,Queue,10000.0,10000.0,11.0,2.624499999999997,4.08196576693623,7.28756807625653,32056.023093202995,40819.65766936231,0.0,72875.6807625653,44875.92357458994,0.22283663941486637,0.7143256459094706,0.0
38470840,Source,10000.0,10000.0,1.0,1.0,0.0,4.486710772470541,44867.10772470541,0.0,0.0,44867.10772470541,44867.10772470541,0.22288042414852713,1.0,0.0
2037860314,Queue,10000.0,10000.0,12.0,2.616800000000003,4.074403133839369,7.266520045139234,31921.16911299865,40744.031338393695,0.0,72665.20045139235,44495.50826147733,0.22474178609748918,0.717402056077532,0.0
2037860314,Source,10000.0,10000.0,1.0,1.0,0.0,4.449071942321278,44490.71942321278,0.0,0.0,44490.71942321278,44490.71942321278,0.2247659765821309,1.0,0.0
1792020222,Queue,10000.0,10000.0,15.0,2.708199999999993,4.336063871553543,7.535987577635507,31999.237060819636,43360.63871553543,0.0,75359.87577635507,44502.69370032639,0.22470549911738621,0.7190404535127038,0.0
1792020222,Source,10000.0,10000.0,1.0,1.0,0.0,4.449241258292436,44492.41258292436,0.0,0.0,44492.41258292436,44492.41258292436,0.22475742310808916,1.0,0.0
932575246,Queue,10000.0,10000.0,14.0,2.6952,4.280220208031972,7.466851001199618,31866.30793167646,42802.20208031972,0.0,74668.51001199619,43911.60082697061,0.22773025377517042,0.7256922392158407,0.0
932575246,Source,10000.0,10000.0,1.0,1.0,0.0,4.389521011282509,43895.210112825094,0.0,0.0,43895.210112825094,43895.210112825094,0.22781528951101312,1.0,0.0
53473582,Queue,10000.0,10000.0,16.0,2.851600000000005,4.7802556863623495,7.9791428425130375,31988.871561506876,47802.5568636235,0.0,79791.42842513038,43980.097178455486,0.22737557762602437,0.727348814890233,0.0
53473582,Source,10000.0,10000.0,1.0,1.0,0.0,4.397270156717892,43972.70156717892,0.0,0.0,43972.70156717892,43972.70156717892,0.2274138191105358,1.0,0.0
212629941,Queue,10000.0,10000.0,12.0,2.4905999999999984,3.670155307572066,6.868632569347949,31984.772617758834,36701.55307572066,0.0,68686.32569347949,45242.8363444503,0.2210294669385079,0.7069577241852618,0.0
212629941,Source,10000.0,10000.0,1.0,1.0,0.0,4.523414842777563,45234.14842777563,0.0,0.0,45234.14842777563,45234.14842777563,0.22107191906059157,1.0,0.0
523041553,Queue,10000.0,10000.0,15.0,2.590999999999996,3.997964379992899,7.192831937009696,31948.67557016797,39979.64379992899,0.0,71928.31937009696,45093.27956853953,0.22176253525318557,0.7085019292421962,0.0
523041553,Source,10000.0,10000.0,1.0,1.0,0.0,4.508609976500618,45086.099765006176,0.0,0.0,45086.099765006176,45086.099765006176,0.2217978501604957,1.0,0.0
835167336,Queue,10000.0,10000.0,14.0,2.561800000000005,3.9025642959087077,7.105774225037892,32032.099291291837,39025.642959087076,0.0,71057.74225037891,45194.5515743881,0.22126560949588076,0.7087601973120259,0.0
835167336,Source,10000.0,10000.0,1.0,1.0,0.0,4.518852276158707,45188.522761587075,0.0,0.0,45188.522761587075,45188.522761587075,0.22129512957880076,1.0,0.0
38147623,Queue,10000.0,10000.0,17.0,2.653599999999993,4.213757342897131,7.414085608401768,32003.28265504637,42137.573428971315,0.0,74140.85608401768,44782.483879077,0.22330159325244883,0.7146384006180315,0.0
38147623,Source,10000.0,10000.0,1.0,1.0,0.0,4.477033846453001,44770.33846453001,0.0,0.0,44770.33846453001,44770.33846453001,0.22336217109286885,1.0,0.0
727957182,Queue,10000.0,10000.0,15.0,2.5457000000000027,3.8449445641495563,7.042181485812301,31972.36921662744,38449.445641495564,0.0,70421.814858123,45141.444257871386,0.2215259206788955,0.7082708526998971,0.0
727957182,Source,10000.0,10000.0,1.0,1.0,0.0,4.513518654104023,45135.18654104023,0.0,0.0,45135.18654104023,45135.18654104023,0.22155663388933297,1.0,0.0
2001735852,Queue,10000.0,10000.0,12.0,2.675399999999996,4.246533945966793,7.445355763220325,31988.218172535322,42465.339459667935,0.0,74453.55763220326,44252.214462425785,0.22597739167360592,0.7228614106915773,0.0
2001735852,Source,10000.0,10000.0,1.0,1.0,0.0,4.424820493777619,44248.204937776194,0.0,0.0,44248.204937776194,44248.204937776194,0.22599786847991793,1.0,0.0
2031289433,Queue,10000.0,10000.0,13.0,2.6791999999999994,4.25719620311988,7.455121495581875,31979.252924619956,42571.9620311988,0.0,74551.21495581875,44646.50867892223,0.22398167955115006,0.7162766780847406,0.0
2031289433,Source,10000.0,10000.0,1.0,1.0,0.0,4.463200116777548,44632.00116777548,0.0,0.0,44632.00116777548,44632.00116777548,0.22405448418969948,1.0,0.0
1759244711,Queue,10000.0,10000.0,14.0,2.5862000000000025,4.001347013562524,7.208800878174261,32074.538646117362,40013.47013562525,0.0,72088.00878174261,45013.71842522669,0.2221544975585882,0.7125503017351723,0.0
1759244711,Source,10000.0,10000.0,1.0,1.0,0.0,4.500009359999894,45000.093599998945,0.0,0.0,45000.093599998945,45000.093599998945,0.22222176000096663,1.0,0.0
1984487330,Queue,10000.0,10000.0,11.0,2.4967999999999897,3.6954920156474067,6.891040905336049,31955.48889688643,36954.920156474065,0.0,68910.40905336049,45693.13384620035,0.21885126184733242,0.6993499068032015,0.0
1984487330,Source,10000.0,10000.0,1.0,1.0,0.0,4.5683196244668665,45683.19624466867,0.0,0.0,45683.19624466867,45683.19624466867,0.21889886921314142,1.0,0.0
607019906,Queue,10000.0,10000.0,13.0,2.619900000000002,4.1010378655395545,7.295940364771059,31949.024992315044,41010.37865539554,0.0,72959.40364771058,45312.70114420376,0.2206886755255632,0.7050788009887123,0.0
607019906,Source,10000.0,10000.0,1.0,1.0,0.0,4.530999473874853,45309.99473874853,0.0,0.0,45309.99473874853,45309.99473874853,0.22070185745239398,1.0,0.0
765969034,Queue,10000.0,10000.0,11.0,2.592300000000004,4.0068619765164,7.206406751028664,31995.447745122645,40068.619765163996,0.0,72064.06751028664,45457.91024851464,0.21998371560264926,0.7038477477342485,0.0
765969034,Source,10000.0,10000.0,1.0,1.0,0.0,4.54548783975174,45454.8783975174,0.0,0.0,45454.8783975174,45454.8783975174,0.21999838856781911,1.0,0.0
287820299,Queue,10000.0,10000.0,15.0,2.5702,3.9284089509318205,7.129499437467824,32010.904865360037,39284.089509318204,0.0,71294.99437467824,44839.70211592072,0.2230166465902862,0.7138964657393272,0.0
287820299,Source,10000.0,10000.0,1.0,1.0,0.0,4.483136988551267,44831.369885512664,0.0,0.0,44831.369885512664,44831.369885512664,0.22305809582748257,1.0,0.0
2101660107,Queue,10000.0,10000.0,14.0,2.7684000000000015,4.510211789888445,7.711363958271494,32011.521683830484,45102.117898884455,0.0,77113.63958271494,44175.67280079782,0.2263689348907754,0.7246414067801668,0.0
2101660107,Source,10000.0,10000.0,1.0,1.0,0.0,4.417403578804187,44174.035788041874,0.0,0.0,44174.035788041874,44174.035788041874,0.22637732372886446,1.0,0.0
1495088784,Queue,10000.0,10000.0,16.0,2.7154999999999907,4.362085395118601,7.561016255902184,31989.308607835836,43620.853951186014,0.0,75610.16255902185,44099.84647599237,0.22675815902089194,0.7253836728264026,0.0
1495088784,Source,10000.0,10000.0,1.0,1.0,0.0,4.409673641496918,44096.736414969186,0.0,0.0,44096.736414969186,44096.736414969186,0.22677415185322822,1.0,0.0
1323398620,Queue,10000.0,10000.0,15.0,2.63089999999999,4.107768613538286,7.303357708852214,31955.890953139286,41077.68613538286,0.0,73033.57708852214,44807.823321849435,0.2231753131182283,0.7131765969438819,0.0
1323398620,Source,10000.0,10000.0,1.0,1.0,0.0,4.4801127506913865,44801.127506913865,0.0,0.0,44801.127506913865,44801.127506913865,0.22320866809561357,1.0,0.0
1979763507,Queue,10000.0,10000.0,14.0,2.5011999999999914,3.722848804193605,6.9353634707711596,32125.146665775545,37228.48804193605,0.0,69353.6347077116,45528.748766949626,0.21964144130530625,0.7056013515815294,0.0
1979763507,Source,10000.0,10000.0,1.0,1.0,0.0,4.552353848998549,45523.53848998549,0.0,0.0,45523.53848998549,45523.53848998549,0.21966657978926338,1.0,0.0
1627021754,Queue,10000.0,10000.0,12.0,2.565599999999998,3.9039373449911423,7.089957393746063,31860.20048754921,39039.37344991142,0.0,70899.57393746063,44938.0678914895,0.22252848128999841,0.7089802028089193,0.0
1627021754,Source,10000.0,10000.0,1.0,1.0,0.0,4.4934953414143415,44934.95341414341,0.0,0.0,44934.95341414341,44934.95341414341,0.22254390491595502,1.0,0.0
464325812,Queue,10000.0,10000.0,11.0,2.54429999999999,3.8240708628786617,7.022877821326026,31988.06958447364,38240.70862878662,0.0,70228.77821326026,44486.028708541846,0.2247896764513817,0.7190587812198114,0.0
464325812,Source,10000.0,10000.0,1.0,1.0,0.0,4.4477901785889955,44477.90178588995,0.0,0.0,44477.90178588995,44477.90178588995,0.22483074961895735,1.0,0.0
719787604,Queue,10000.0,10000.0,13.0,2.5938000000000065,3.9984936709709435,7.193623044437451,31951.293734665076,39984.93670970944,0.0,71936.23044437451,45079.29509266219,0.22183133031349808,0.7087797994398091,0.0
719787604,Source,10000.0,10000.0,1.0,1.0,0.0,4.504917165690608,45049.17165690607,0.0,0.0,45049.17165690607,45049.17165690607,0.22197966426907634,1.0,0.0
1402265135,Queue,10000.0,10000.0,20.0,2.741799999999998,4.439181669152614,7.638089853583223,31989.081844306085,44391.81669152614,0.0,76380.89853583222,44465.901483118374,0.22489142615935792,0.7194070237494419,0.0
1402265135,Source,10000.0,10000.0,1.0,1.0,0.0,4.445653264760017,44456.532647600165,0.0,0.0,44456.532647600165,44456.532647600165,0.2249388201115099,1.0,0.0
