seed,node,numArrivals,numDepartures,avgQueueLength,avgWaitTime,avgResponse,busyTime,waitTime,unavailableTime,responseTime,lastEventTime,throughput,utilization,unavailable
2007539552,Service2,10000.0,10000.0,1.7866000000000017,0.2331784292519753,0.52110549294643,2879.2706369445477,2331.784292519753,94.20316085745478,5211.054929464301,6592.662919126549,1.5168377517054799,0.4367386399494572,0.014289091071857135
2007539552,Service1,10000.0,10000.0,4.279400000000001,1.6718563141608072,2.18125150580621,5093.951916454023,16718.563141608072,0.0,21812.515058062098,6592.2985442770205,1.5169215915867935,0.7727125648574035,0.0
2007539552,Source,10000.0,10000.0,1.0,0.0,0.6591891302649805,6591.891302649805,0.0,0.0,6591.891302649805,6591.891302649805,1.5170153057560591,1.0,0.0
608249272,Service2,10000.0,10000.0,1.7490000000000003,0.22249799945498816,0.5082714269695763,2857.734275145881,2224.9799945498817,101.01285813837123,5082.714269695763,6646.568753828835,1.5045357041164107,0.42995632498342085,0.015197745164402546
608249272,Service1,10000.0,10000.0,3.8616999999999995,1.4235967865378407,1.9274785702683959,5038.8178373055525,14235.967865378407,0.0,19274.78570268396,6645.951289868643,1.504675487953757,0.7581785688057826,0.0
608249272,Source,10000.0,10000.0,1.0,0.0,0.6644218388157392,6644.218388157392,0.0,0.0,6644.218388157392,6644.218388157392,1.5050679276021284,1.0,0.0
1988926069,Service2,10000.0,10000.0,1.7613999999999992,0.22140891307846255,0.5042914003311104,2828.824872526479,2214.0891307846255,99.45924427328903,5042.914003311104,6562.15675231841,1.5238892299345028,0.4310815756613944,0.015156487116549003
1988926069,Service1,10000.0,10000.0,4.892499999999995,2.012623140023196,2.514288314681899,5016.651746587026,20126.23140023196,0.0,25142.88314681899,6561.992145093224,1.5239274566150722,0.7645013336899926,0.0
1988926069,Source,10000.0,10000.0,1.0,0.0,0.6558879024707326,6558.879024707326,0.0,0.0,6558.879024707326,6558.879024707326,1.5246507768065178,1.0,0.0
1978685236,Service2,10000.0,10000.0,1.8071000000000004,0.24055615930886529,0.5266691468872962,2861.129875784309,2405.561593088653,97.51419849699435,5266.691468872962,6760.0766910926095,1.479273158716744,0.42323926288503005,0.014425013643038042
